"Data,""Último"",""Abertura"",""Máxima"",""Mínima"",""Vol."",""Var%"""
"11.12.2020,""3.469,3"",""3.452,6"",""3.491,9"",""3.451,6"",""-"",""-0,72%"""
"10.12.2020,""3.494,6"",""3.444,8"",""3.495,3"",""3.443,6"",""-"",""0,47%"""
"09.12.2020,""3.478,3"",""3.498,4"",""3.517,3"",""3.465,6"",""-"",""0,25%"""
"08.12.2020,""3.469,7"",""3.428,3"",""3.470,1"",""3.427,9"",""-"",""0,25%"""
"07.12.2020,""3.461,0"",""3.443,7"",""3.469,2"",""3.418,9"",""-"",""-0,24%"""
"04.12.2020,""3.469,4"",""3.423,7"",""3.469,4"",""3.416,0"",""-"",""2,34%"""
"03.12.2020,""3.390,0"",""3.389,3"",""3.414,2"",""3.361,0"",""-"",""0,27%"""
"02.12.2020,""3.381,1"",""3.317,5"",""3.389,4"",""3.314,1"",""-"",""1,58%"""
"01.12.2020,""3.328,4"",""3.326,9"",""3.360,0"",""3.309,1"",""-"",""2,23%"""
"30.11.2020,""3.255,8"",""3.355,7"",""3.366,4"",""3.249,7"",""-"",""-3,76%"""
"27.11.2020,""3.382,8"",""3.426,0"",""3.426,1"",""3.353,0"",""-"",""-1,46%"""
"25.11.2020,""3.433,0"",""3.437,2"",""3.442,5"",""3.398,7"",""-"",""-1,65%"""
"24.11.2020,""3.490,4"",""3.396,4"",""3.497,2"",""3.396,0"",""-"",""4,70%"""
"23.11.2020,""3.333,7"",""3.333,5"",""3.350,4"",""3.317,4"",""-"",""1,29%"""
"20.11.2020,""3.291,4"",""3.265,6"",""3.294,7"",""3.254,6"",""-"",""-0,58%"""
"19.11.2020,""3.310,5"",""3.284,8"",""3.311,1"",""3.254,1"",""-"",""0,22%"""
"18.11.2020,""3.303,3"",""3.380,2"",""3.394,0"",""3.303,3"",""-"",""-1,76%"""
"17.11.2020,""3.362,3"",""3.321,5"",""3.366,4"",""3.291,1"",""-"",""-0,48%"""
"16.11.2020,""3.378,6"",""3.342,7"",""3.384,5"",""3.323,4"",""-"",""4,29%"""
"13.11.2020,""3.239,8"",""3.194,6"",""3.256,3"",""3.194,6"",""-"",""2,67%"""
"12.11.2020,""3.155,5"",""3.167,2"",""3.182,3"",""3.122,0"",""-"",""-2,15%"""
"11.11.2020,""3.224,8"",""3.317,0"",""3.317,0"",""3.197,3"",""-"",""-2,65%"""
"10.11.2020,""3.312,6"",""3.270,6"",""3.336,1"",""3.240,6"",""-"",""2,49%"""
"09.11.2020,""3.232,0"",""3.075,9"",""3.305,6"",""3.075,6"",""-"",""13,29%"""
"06.11.2020,""2.853,0"",""2.939,9"",""2.943,3"",""2.850,8"",""-"",""-2,05%"""
"05.11.2020,""2.912,6"",""2.815,8"",""2.923,7"",""2.815,7"",""-"",""3,74%"""
"04.11.2020,""2.807,5"",""2.918,1"",""2.918,6"",""2.806,4"",""-"",""-6,41%"""
"03.11.2020,""2.999,7"",""2.974,5"",""3.012,7"",""2.968,4"",""-"",""2,65%"""
"02.11.2020,""2.922,1"",""2.886,8"",""2.925,1"",""2.861,0"",""-"",""2,60%"""
"30.10.2020,""2.848,1"",""2.805,5"",""2.851,6"",""2.805,5"",""-"",""0,92%"""
"29.10.2020,""2.822,3"",""2.754,7"",""2.828,8"",""2.727,0"",""-"",""2,09%"""
"28.10.2020,""2.764,6"",""2.761,9"",""2.803,4"",""2.759,6"",""-"",""-1,86%"""
"27.10.2020,""2.817,1"",""2.893,8"",""2.893,8"",""2.817,1"",""-"",""-2,95%"""
"26.10.2020,""2.902,6"",""2.905,6"",""2.906,7"",""2.872,0"",""-"",""-1,44%"""
"23.10.2020,""2.945,2"",""2.944,8"",""2.973,6"",""2.910,5"",""-"",""1,18%"""
"22.10.2020,""2.910,9"",""2.827,5"",""2.913,1"",""2.818,2"",""-"",""3,67%"""
"21.10.2020,""2.807,9"",""2.791,4"",""2.819,8"",""2.787,5"",""-"",""0,77%"""
"20.10.2020,""2.786,4"",""2.767,9"",""2.819,1"",""2.766,1"",""-"",""1,99%"""
"19.10.2020,""2.732,0"",""2.769,4"",""2.785,6"",""2.732,0"",""-"",""-0,79%"""
"16.10.2020,""2.753,8"",""2.744,9"",""2.768,6"",""2.715,9"",""-"",""0,00%"""
"15.10.2020,""2.753,8"",""2.661,5"",""2.753,8"",""2.659,6"",""-"",""2,46%"""
"14.10.2020,""2.687,7"",""2.728,0"",""2.744,3"",""2.687,7"",""-"",""-1,40%"""
